,rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_add_amount
53,20160816002079,11012,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,부채총계,제 18 기반기말,2016.06.30 현재,"2,293,343,709,233",제 17 기말,2015.12.31 현재,"2,116,334,498,633",,,,11,KRW,,
54,20160816002079,11012,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 18 기반기말,2016.06.30 현재,"3,415,317,553,023",제 17 기말,2015.12.31 현재,"3,069,369,884,003",,,,17,KRW,,
55,20160816002079,11012,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,자본총계,제 18 기반기말,2016.06.30 현재,"2,634,112,166,407",제 17 기말,2015.12.31 현재,"2,269,578,519,488",,,,21,KRW,,
56,20160816002079,11012,2016,00266961,035420,CFS,연결재무제표,IS,손익계산서,매출액,제 18 기반기,2016.01.01 ~ 2016.06.30,"987,281,364,295",제 17 기반기,2015.01.01 ~ 2015.06.30,"781,395,614,709",,,,23,KRW,"1,924,561,584,447","1,521,965,665,105"
57,20160816002079,11012,2016,00266961,035420,CFS,연결재무제표,IS,손익계산서,영업이익,제 18 기반기,2016.01.01 ~ 2016.06.30,"272,663,961,847",제 17 기반기,2015.01.01 ~ 2015.06.30,"189,352,197,636",,,,25,KRW,"529,491,498,522","383,724,824,603"
58,20160816002079,11012,2016,00266961,035420,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 18 기반기,2016.01.01 ~ 2016.06.30,"311,421,411,169",제 17 기반기,2015.01.01 ~ 2015.06.30,"184,522,762,758",,,,27,KRW,"567,633,873,839","409,228,493,577"
59,20160816002079,11012,2016,00266961,035420,CFS,연결재무제표,IS,손익계산서,당기순이익,제 18 기반기,2016.01.01 ~ 2016.06.30,"213,223,506,226",제 17 기반기,2015.01.01 ~ 2015.06.30,"124,086,180,414",,,,29,KRW,"378,259,652,761","258,641,581,782"
60,20160816002079,11012,2016,00266961,035420,OFS,재무제표,BS,재무상태표,유동자산,제 18 기반기말,2016.06.30 현재,"2,007,982,299,612",제 17 기말,2015.12.31 현재,"1,804,796,318,644",,,,2,KRW,,
61,20160816002079,11012,2016,00266961,035420,OFS,재무제표,BS,재무상태표,비유동자산,제 18 기반기말,2016.06.30 현재,"1,713,726,700,164",제 17 기말,2015.12.31 현재,"1,578,921,331,247",,,,4,KRW,,
62,20160816002079,11012,2016,00266961,035420,OFS,재무제표,BS,재무상태표,자산총계,제 18 기반기말,2016.06.30 현재,"3,721,708,999,776",제 17 기말,2015.12.31 현재,"3,383,717,649,891",,,,6,KRW,,
63,20160816002079,11012,2016,00266961,035420,OFS,재무제표,BS,재무상태표,유동부채,제 18 기반기말,2016.06.30 현재,"786,773,415,981",제 17 기말,2015.12.31 현재,"739,150,463,993",,,,8,KRW,,
